contig	start	end	covergage_abs	coverage_norm
CP020124.1_contig1	640000	670000	90	1.07143
CP020124.1_contig1	650000	680000	92	1.09524
CP020124.1_contig1	660000	690000	91	1.08333
CP020124.1_contig1	670000	700000	93	1.10714
CP020124.1_contig1	680000	710000	93	1.10714
CP020124.1_contig1	690000	720000	97	1.15476
CP020124.1_contig1	700000	730000	103	1.22619
CP020124.1_contig1	710000	740000	102	1.21429
CP020124.1_contig1	720000	750000	101	1.20238
CP020124.1_contig1	730000	760000	103	1.22619
CP020124.1_contig1	740000	770000	116	1.38095
CP020124.1_contig1	750000	780000	129	1.53571
CP020124.1_contig1	760000	790000	136	1.61905
CP020124.1_contig1	770000	800000	145	1.72619
CP020124.1_contig1	780000	810000	157	1.86905
CP020124.1_contig1	790000	813597	161	1.91667
CP020124.1_contig1	800000	813597	161	1.91667
CP020124.1_contig1	810000	813597	150	1.78571
CP020125.1_contig1	0	30000	117	1.39286
CP020125.1_contig1	10000	40000	127	1.5119
CP020125.1_contig1	20000	50000	126	1.5
CP020125.1_contig1	30000	60000	109	1.29762
CP020125.1_contig1	40000	70000	105	1.25
CP020125.1_contig1	50000	80000	102	1.21429
CP020125.1_contig1	60000	90000	96	1.14286
CP020125.1_contig1	70000	100000	92	1.09524
CP020125.1_contig1	80000	110000	89	1.05952
CP020125.1_contig1	90000	120000	88	1.04762
CP020125.1_contig1	100000	130000	87	1.03571
CP020125.1_contig1	110000	140000	82	0.97619
CP020125.1_contig1	120000	150000	75	0.892857
CP020125.1_contig1	130000	160000	73	0.869048
CP020125.1_contig1	140000	170000	71	0.845238
CP020125.1_contig1	150000	180000	65	0.77381
CP020125.1_contig1	160000	190000	58	0.690476
CP020125.1_contig1	170000	200000	58	0.690476
CP020125.1_contig1	180000	210000	70	0.833333
CP020125.1_contig1	190000	220000	87	1.03571
CP020125.1_contig1	200000	230000	94	1.11905
CP020125.1_contig1	210000	240000	97	1.15476
CP020125.1_contig1	220000	250000	92	1.09524
CP020125.1_contig1	230000	260000	91	1.08333
CP020125.1_contig1	240000	270000	94	1.11905
CP020125.1_contig1	250000	280000	104	1.2381
CP020125.1_contig1	260000	290000	112	1.33333
CP020125.1_contig1	270000	300000	114	1.35714
CP020125.1_contig1	280000	310000	116	1.38095
CP020125.1_contig1	290000	320000	121	1.44048
CP020125.1_contig1	300000	330000	128	1.52381
CP020125.1_contig1	310000	340000	134	1.59524
CP020125.1_contig1	320000	341580	138	1.64286
CP020125.1_contig1	330000	341580	130	1.54762
CP020125.1_contig1	340000	341580	122	1.45238
CP020126.1_contig1	0	30000	147	1.75
CP020126.1_contig1	10000	40000	153	1.82143
CP020126.1_contig1	20000	50000	147	1.75
CP020126.1_contig1	30000	60000	120	1.42857
CP020126.1_contig1	40000	70000	117	1.39286
CP020126.1_contig1	50000	80000	115	1.36905
CP020126.1_contig1	60000	90000	106	1.2619
CP020126.1_contig1	70000	100000	99	1.17857
CP020126.1_contig1	80000	110000	94	1.11905
CP020126.1_contig1	90000	120000	87	1.03571
CP020126.1_contig1	100000	130000	82	0.97619
CP020126.1_contig1	110000	140000	81	0.964286
CP020126.1_contig1	120000	150000	84	1
CP020126.1_contig1	130000	160000	88	1.04762
CP020126.1_contig1	140000	170000	88	1.04762
CP020126.1_contig1	150000	180000	85	1.0119
CP020126.1_contig1	160000	190000	79	0.940476
CP020126.1_contig1	170000	200000	72	0.857143
CP020126.1_contig1	180000	210000	64	0.761905
CP020126.1_contig1	190000	220000	64	0.761905
CP020126.1_contig1	200000	230000	68	0.809524
CP020126.1_contig1	210000	240000	73	0.869048
CP020126.1_contig1	220000	250000	79	0.940476
CP020126.1_contig1	230000	260000	82	0.97619
CP020126.1_contig1	240000	270000	83	0.988095
CP020126.1_contig1	250000	280000	86	1.02381
CP020126.1_contig1	260000	290000	89	1.05952
CP020126.1_contig1	270000	300000	89	1.05952
CP020126.1_contig1	280000	310000	86	1.02381
CP020126.1_contig1	290000	320000	73	0.869048
CP020126.1_contig1	300000	330000	64	0.761905
CP020126.1_contig1	310000	340000	61	0.72619
CP020126.1_contig1	320000	350000	62	0.738095
CP020126.1_contig1	330000	360000	64	0.761905
CP020126.1_contig1	340000	370000	67	0.797619
CP020126.1_contig1	350000	380000	69	0.821429
CP020126.1_contig1	360000	390000	72	0.857143
CP020126.1_contig1	370000	400000	82	0.97619
CP020126.1_contig1	380000	410000	86	1.02381
CP020126.1_contig1	390000	420000	87	1.03571
CP020126.1_contig1	400000	430000	83	0.988095
CP020126.1_contig1	410000	440000	81	0.964286
CP020126.1_contig1	420000	450000	78	0.928571
CP020126.1_contig1	430000	460000	75	0.892857
CP020126.1_contig1	440000	470000	71	0.845238
CP020126.1_contig1	450000	480000	66	0.785714
CP020126.1_contig1	460000	490000	62	0.738095
CP020126.1_contig1	470000	500000	59	0.702381
CP020126.1_contig1	480000	510000	56	0.666667
CP020126.1_contig1	490000	520000	56	0.666667
CP020126.1_contig1	500000	530000	56	0.666667
CP020126.1_contig1	510000	540000	58	0.690476
CP020126.1_contig1	520000	550000	64	0.761905
CP020126.1_contig1	530000	560000	72	0.857143
CP020126.1_contig1	540000	570000	73	0.869048
CP020126.1_contig1	550000	580000	73	0.869048
CP020126.1_contig1	560000	590000	72	0.857143
CP020126.1_contig1	570000	600000	71	0.845238
CP020126.1_contig1	580000	610000	69	0.821429
CP020126.1_contig1	590000	620000	69	0.821429
CP020126.1_contig1	600000	630000	70	0.833333
CP020126.1_contig1	610000	640000	71	0.845238
CP020126.1_contig1	620000	650000	70	0.833333
CP020126.1_contig1	630000	660000	69	0.821429
CP020126.1_contig1	640000	670000	66	0.785714
CP020126.1_contig1	650000	680000	64	0.761905
CP020126.1_contig1	660000	690000	63	0.75
CP020126.1_contig1	670000	700000	64	0.761905
CP020126.1_contig1	680000	710000	66	0.785714
CP020126.1_contig1	690000	720000	71	0.845238
CP020126.1_contig1	700000	730000	77	0.916667
CP020126.1_contig1	710000	740000	77	0.916667
CP020126.1_contig1	720000	750000	77	0.916667
CP020126.1_contig1	730000	760000	77	0.916667
CP020126.1_contig1	740000	770000	76	0.904762
CP020126.1_contig1	750000	780000	70	0.833333
CP020126.1_contig1	760000	790000	68	0.809524
CP020126.1_contig1	770000	800000	69	0.821429
CP020126.1_contig1	780000	810000	71	0.845238
CP020126.1_contig1	790000	820000	71	0.845238
CP020126.1_contig1	800000	830000	69	0.821429
CP020126.1_contig1	810000	840000	64	0.761905
CP020126.1_contig1	820000	850000	61	0.72619
CP020126.1_contig1	830000	860000	59	0.702381
CP020126.1_contig1	840000	870000	57	0.678571
CP020126.1_contig1	850000	880000	56	0.666667
CP020126.1_contig1	860000	890000	55	0.654762
CP020126.1_contig1	870000	900000	58	0.690476
CP020126.1_contig1	880000	910000	64	0.761905
CP020126.1_contig1	890000	920000	71	0.845238
CP020126.1_contig1	900000	930000	71	0.845238
CP020126.1_contig1	910000	940000	65	0.77381
CP020126.1_contig1	920000	950000	61	0.72619
CP020126.1_contig1	930000	960000	61	0.72619
CP020126.1_contig1	940000	970000	60	0.714286
CP020126.1_contig1	950000	980000	59	0.702381
CP020126.1_contig1	960000	990000	55	0.654762
CP020126.1_contig1	970000	1000000	55	0.654762
CP020126.1_contig1	980000	1010000	56	0.666667
CP020126.1_contig1	990000	1020000	60	0.714286
CP020126.1_contig1	1000000	1030000	64	0.761905
CP020126.1_contig1	1010000	1040000	67	0.797619
CP020126.1_contig1	1020000	1050000	70	0.833333
CP020126.1_contig1	1030000	1060000	74	0.880952
CP020126.1_contig1	1040000	1070000	77	0.916667
CP020126.1_contig1	1050000	1080000	77	0.916667
CP020126.1_contig1	1060000	1090000	70	0.833333
CP020126.1_contig1	1070000	1100000	64	0.761905
CP020126.1_contig1	1080000	1110000	64	0.761905
CP020126.1_contig1	1090000	1120000	75	0.892857
CP020126.1_contig1	1100000	1130000	81	0.964286
CP020126.1_contig1	1110000	1140000	79	0.940476
CP020126.1_contig1	1120000	1150000	75	0.892857
CP020126.1_contig1	1130000	1160000	70	0.833333
CP020126.1_contig1	1140000	1170000	68	0.809524
CP020126.1_contig1	1150000	1180000	66	0.785714
CP020126.1_contig1	1160000	1190000	62	0.738095
CP020126.1_contig1	1170000	1200000	62	0.738095
CP020126.1_contig1	1180000	1210000	66	0.785714
CP020126.1_contig1	1190000	1220000	73	0.869048
CP020126.1_contig1	1200000	1230000	75	0.892857
CP020126.1_contig1	1210000	1240000	77	0.916667
CP020126.1_contig1	1220000	1250000	77	0.916667
CP020126.1_contig1	1230000	1260000	77	0.916667
CP020126.1_contig1	1240000	1270000	77	0.916667
CP020126.1_contig1	1250000	1280000	75	0.892857
CP020126.1_contig1	1260000	1290000	74	0.880952
CP020126.1_contig1	1270000	1300000	72	0.857143
CP020126.1_contig1	1280000	1310000	73	0.869048
CP020126.1_contig1	1290000	1320000	77	0.916667
CP020126.1_contig1	1300000	1330000	87	1.03571
CP020126.1_contig1	1310000	1340000	90	1.07143
CP020126.1_contig1	1320000	1350000	89	1.05952
CP020126.1_contig1	1330000	1360000	82	0.97619
CP020126.1_contig1	1340000	1370000	79	0.940476
CP020126.1_contig1	1350000	1380000	80	0.952381
CP020126.1_contig1	1360000	1390000	87	1.03571
CP020126.1_contig1	1370000	1400000	90	1.07143
CP020126.1_contig1	1380000	1410000	93	1.10714
CP020126.1_contig1	1390000	1420000	93	1.10714
CP020126.1_contig1	1400000	1430000	89	1.05952
CP020126.1_contig1	1410000	1440000	87	1.03571
CP020126.1_contig1	1420000	1450000	89	1.05952
CP020126.1_contig1	1430000	1460000	99	1.17857
CP020126.1_contig1	1440000	1470000	108	1.28571
CP020126.1_contig1	1450000	1480000	111	1.32143
CP020126.1_contig1	1460000	1490000	114	1.35714
CP020126.1_contig1	1470000	1500000	118	1.40476
CP020126.1_contig1	1480000	1510000	128	1.52381
CP020126.1_contig1	1490000	1520000	148	1.7619
CP020126.1_contig1	1500000	1530000	148	1.7619
CP020126.1_contig1	1510000	1540000	149	1.77381
CP020126.1_contig1	1520000	1550000	965	11.4881
CP020126.1_contig1	1530000	1560000	2437	29.0119
CP020126.1_contig1	1540000	1566853	2465	29.3452
CP020126.1_contig1	1550000	1566853	2361	28.1071
CP020126.1_contig1	1560000	1566853	1616	19.2381
CP020127.1_contig1	0	30000	147	1.75
CP020127.1_contig1	10000	40000	148	1.7619
CP020127.1_contig1	20000	50000	128	1.52381
CP020127.1_contig1	30000	60000	114	1.35714
CP020127.1_contig1	40000	70000	114	1.35714
CP020127.1_contig1	50000	80000	115	1.36905
CP020127.1_contig1	60000	90000	113	1.34524
CP020127.1_contig1	70000	100000	106	1.2619
CP020127.1_contig1	80000	110000	103	1.22619
CP020127.1_contig1	90000	120000	100	1.19048
CP020127.1_contig1	100000	130000	97	1.15476
CP020127.1_contig1	110000	140000	94	1.11905
CP020127.1_contig1	120000	150000	87	1.03571
CP020127.1_contig1	130000	160000	82	0.97619
CP020127.1_contig1	140000	170000	81	0.964286
CP020127.1_contig1	150000	180000	80	0.952381
CP020127.1_contig1	160000	190000	78	0.928571
CP020127.1_contig1	170000	200000	73	0.869048
CP020127.1_contig1	180000	210000	71	0.845238
CP020127.1_contig1	190000	220000	69	0.821429
CP020127.1_contig1	200000	230000	69	0.821429
CP020127.1_contig1	210000	240000	70	0.833333
CP020127.1_contig1	220000	250000	72	0.857143
CP020127.1_contig1	230000	260000	73	0.869048
CP020127.1_contig1	240000	270000	76	0.904762
CP020127.1_contig1	250000	280000	77	0.916667
CP020127.1_contig1	260000	290000	79	0.940476
CP020127.1_contig1	270000	300000	80	0.952381
CP020127.1_contig1	280000	310000	83	0.988095
CP020127.1_contig1	290000	320000	94	1.11905
CP020127.1_contig1	300000	330000	99	1.17857
CP020127.1_contig1	310000	340000	96	1.14286
CP020127.1_contig1	320000	350000	87	1.03571
CP020127.1_contig1	330000	360000	82	0.97619
CP020127.1_contig1	340000	370000	82	0.97619
CP020127.1_contig1	350000	380000	90	1.07143
CP020127.1_contig1	360000	390000	94	1.11905
CP020127.1_contig1	370000	400000	92	1.09524
CP020127.1_contig1	380000	410000	85	1.0119
CP020127.1_contig1	390000	420000	79	0.940476
CP020127.1_contig1	400000	430000	71	0.845238
CP020127.1_contig1	410000	440000	69	0.821429
CP020127.1_contig1	420000	450000	70	0.833333
CP020127.1_contig1	430000	460000	73	0.869048
CP020127.1_contig1	440000	470000	70	0.833333
CP020127.1_contig1	450000	480000	69	0.821429
CP020127.1_contig1	460000	490000	70	0.833333
CP020127.1_contig1	470000	500000	83	0.988095
CP020127.1_contig1	480000	510000	94	1.11905
CP020127.1_contig1	490000	520000	108	1.28571
CP020127.1_contig1	500000	530000	111	1.32143
CP020127.1_contig1	510000	540000	115	1.36905
CP020127.1_contig1	520000	550000	131	1.55952
CP020127.1_contig1	530000	560000	135	1.60714
CP020127.1_contig1	540000	570000	134	1.59524
CP020127.1_contig1	550000	580000	129	1.53571
CP020127.1_contig1	560000	583092	125	1.4881
CP020127.1_contig1	570000	583092	107	1.27381
CP020127.1_contig1	580000	583092	83	0.988095
CP020128.1_contig1	0	30000	130	1.54762
CP020128.1_contig1	10000	40000	141	1.67857
CP020128.1_contig1	20000	50000	141	1.67857
CP020128.1_contig1	30000	60000	126	1.5
CP020128.1_contig1	40000	70000	117	1.39286
CP020128.1_contig1	50000	80000	117	1.39286
CP020128.1_contig1	60000	90000	116	1.38095
CP020128.1_contig1	70000	100000	111	1.32143
CP020128.1_contig1	80000	110000	107	1.27381
CP020128.1_contig1	90000	120000	99	1.17857
CP020128.1_contig1	100000	130000	92	1.09524
CP020128.1_contig1	110000	140000	91	1.08333
CP020128.1_contig1	120000	150000	90	1.07143
CP020128.1_contig1	130000	160000	89	1.05952
CP020128.1_contig1	140000	170000	82	0.97619
CP020128.1_contig1	150000	180000	78	0.928571
CP020128.1_contig1	160000	190000	78	0.928571
CP020128.1_contig1	170000	200000	81	0.964286
CP020128.1_contig1	180000	210000	84	1
CP020128.1_contig1	190000	220000	84	1
CP020128.1_contig1	200000	230000	81	0.964286
CP020128.1_contig1	210000	240000	82	0.97619
CP020128.1_contig1	220000	250000	93	1.10714
CP020128.1_contig1	230000	260000	97	1.15476
CP020128.1_contig1	240000	270000	96	1.14286
CP020128.1_contig1	250000	271539	93	1.10714
CP020128.1_contig1	260000	271539	89	1.05952
CP020128.1_contig1	270000	271539	86	1.02381
CP020129.1_contig1	0	30000	147	1.75
CP020129.1_contig1	10000	40000	150	1.78571
CP020129.1_contig1	20000	50000	143	1.70238
CP020129.1_contig1	30000	60000	122	1.45238
CP020129.1_contig1	40000	70000	119	1.41667
CP020129.1_contig1	50000	80000	115	1.36905
CP020129.1_contig1	60000	90000	112	1.33333
CP020129.1_contig1	70000	100000	106	1.2619
CP020129.1_contig1	80000	110000	101	1.20238
CP020129.1_contig1	90000	120000	91	1.08333
CP020129.1_contig1	100000	130000	90	1.07143
CP020129.1_contig1	110000	140000	89	1.05952
CP020129.1_contig1	120000	150000	85	1.0119
CP020129.1_contig1	130000	160000	79	0.940476
CP020129.1_contig1	140000	170000	76	0.904762
CP020129.1_contig1	150000	180000	77	0.916667
CP020129.1_contig1	160000	190000	80	0.952381
CP020129.1_contig1	170000	200000	81	0.964286
CP020129.1_contig1	180000	210000	80	0.952381
CP020129.1_contig1	190000	220000	78	0.928571
CP020129.1_contig1	200000	230000	76	0.904762
CP020129.1_contig1	210000	240000	77	0.916667
CP020129.1_contig1	220000	250000	78	0.928571
CP020129.1_contig1	230000	260000	78	0.928571
CP020129.1_contig1	240000	270000	75	0.892857
CP020129.1_contig1	250000	280000	74	0.880952
CP020129.1_contig1	260000	290000	77	0.916667
CP020129.1_contig1	270000	300000	77	0.916667
CP020129.1_contig1	280000	310000	77	0.916667
CP020129.1_contig1	290000	320000	75	0.892857
CP020129.1_contig1	300000	330000	73	0.869048
CP020129.1_contig1	310000	340000	71	0.845238
CP020129.1_contig1	320000	350000	65	0.77381
CP020129.1_contig1	330000	360000	61	0.72619
CP020129.1_contig1	340000	370000	60	0.714286
CP020129.1_contig1	350000	380000	61	0.72619
CP020129.1_contig1	360000	390000	71	0.845238
CP020129.1_contig1	370000	400000	79	0.940476
CP020129.1_contig1	380000	410000	83	0.988095
CP020129.1_contig1	390000	420000	84	1
CP020129.1_contig1	400000	430000	81	0.964286
CP020129.1_contig1	410000	440000	73	0.869048
CP020129.1_contig1	420000	450000	69	0.821429
CP020129.1_contig1	430000	460000	66	0.785714
CP020129.1_contig1	440000	470000	67	0.797619
CP020129.1_contig1	450000	480000	72	0.857143
CP020129.1_contig1	460000	490000	77	0.916667
CP020129.1_contig1	470000	500000	78	0.928571
CP020129.1_contig1	480000	510000	78	0.928571
CP020129.1_contig1	490000	520000	79	0.940476
CP020129.1_contig1	500000	530000	78	0.928571
CP020129.1_contig1	510000	540000	76	0.904762
CP020129.1_contig1	520000	550000	75	0.892857
CP020129.1_contig1	530000	560000	73	0.869048
CP020129.1_contig1	540000	570000	71	0.845238
CP020129.1_contig1	550000	580000	68	0.809524
CP020129.1_contig1	560000	590000	66	0.785714
CP020129.1_contig1	570000	600000	66	0.785714
CP020129.1_contig1	580000	610000	67	0.797619
CP020129.1_contig1	590000	620000	69	0.821429
CP020129.1_contig1	600000	630000	72	0.857143
CP020129.1_contig1	610000	640000	74	0.880952
CP020129.1_contig1	620000	650000	75	0.892857
CP020129.1_contig1	630000	660000	74	0.880952
CP020129.1_contig1	640000	670000	70	0.833333
CP020129.1_contig1	650000	680000	67	0.797619
CP020129.1_contig1	660000	690000	65	0.77381
CP020129.1_contig1	670000	700000	65	0.77381
CP020129.1_contig1	680000	710000	65	0.77381
CP020129.1_contig1	690000	720000	68	0.809524
CP020129.1_contig1	700000	730000	71	0.845238
CP020129.1_contig1	710000	740000	74	0.880952
CP020129.1_contig1	720000	750000	78	0.928571
CP020129.1_contig1	730000	760000	81	0.964286
CP020129.1_contig1	740000	770000	82	0.97619
CP020129.1_contig1	750000	780000	78	0.928571
CP020129.1_contig1	760000	790000	72	0.857143
CP020129.1_contig1	770000	800000	64	0.761905
CP020129.1_contig1	780000	810000	50	0.595238
CP020129.1_contig1	790000	820000	44	0.52381
CP020129.1_contig1	800000	830000	42	0.5
CP020129.1_contig1	810000	840000	43	0.511905
CP020129.1_contig1	820000	850000	56	0.666667
CP020129.1_contig1	830000	860000	64	0.761905
CP020129.1_contig1	840000	870000	75	0.892857
CP020129.1_contig1	850000	880000	79	0.940476
CP020129.1_contig1	860000	890000	81	0.964286
CP020129.1_contig1	870000	900000	78	0.928571
CP020129.1_contig1	880000	910000	77	0.916667
CP020129.1_contig1	890000	920000	78	0.928571
CP020129.1_contig1	900000	930000	80	0.952381
CP020129.1_contig1	910000	940000	80	0.952381
CP020129.1_contig1	920000	950000	75	0.892857
CP020129.1_contig1	930000	960000	73	0.869048
CP020129.1_contig1	940000	970000	75	0.892857
CP020129.1_contig1	950000	980000	89	1.05952
CP020129.1_contig1	960000	990000	100	1.19048
CP020129.1_contig1	970000	1000000	105	1.25
CP020129.1_contig1	980000	1010000	108	1.28571
CP020129.1_contig1	990000	1020000	110	1.30952
CP020129.1_contig1	1000000	1030000	112	1.33333
CP020129.1_contig1	1010000	1040000	117	1.39286
CP020129.1_contig1	1020000	1050000	121	1.44048
CP020129.1_contig1	1030000	1060000	132	1.57143
CP020129.1_contig1	1040000	1070000	156	1.85714
CP020129.1_contig1	1050000	1080000	176	2.09524
CP020129.1_contig1	1060000	1090000	174	2.07143
CP020129.1_contig1	1070000	1091538	170	2.02381
CP020129.1_contig1	1080000	1091538	167	1.9881
CP020129.1_contig1	1090000	1091538	165	1.96429
CP020130.1_contig1	0	30000	157	1.86905
CP020130.1_contig1	10000	40000	162	1.92857
CP020130.1_contig1	20000	50000	158	1.88095
CP020130.1_contig1	30000	60000	123	1.46429
CP020130.1_contig1	40000	70000	109	1.29762
CP020130.1_contig1	50000	80000	104	1.2381
CP020130.1_contig1	60000	90000	101	1.20238
CP020130.1_contig1	70000	100000	96	1.14286
CP020130.1_contig1	80000	110000	95	1.13095
CP020130.1_contig1	90000	120000	94	1.11905
CP020130.1_contig1	100000	130000	96	1.14286
CP020130.1_contig1	110000	140000	95	1.13095
CP020130.1_contig1	120000	150000	96	1.14286
CP020130.1_contig1	130000	160000	95	1.13095
CP020130.1_contig1	140000	170000	97	1.15476
CP020130.1_contig1	150000	180000	101	1.20238
CP020130.1_contig1	160000	190000	104	1.2381
CP020130.1_contig1	170000	200000	103	1.22619
CP020130.1_contig1	180000	210000	96	1.14286
CP020130.1_contig1	190000	220000	94	1.11905
CP020130.1_contig1	200000	230000	117	1.39286
CP020130.1_contig1	210000	240000	120	1.42857
CP020130.1_contig1	220000	250000	88	1.04762
CP020130.1_contig1	230000	260000	80	0.952381
CP020130.1_contig1	240000	270000	76	0.904762
CP020130.1_contig1	250000	280000	75	0.892857
CP020130.1_contig1	260000	290000	79	0.940476
CP020130.1_contig1	270000	300000	86	1.02381
CP020130.1_contig1	280000	310000	90	1.07143
CP020130.1_contig1	290000	320000	90	1.07143
CP020130.1_contig1	300000	330000	85	1.0119
CP020130.1_contig1	310000	340000	76	0.904762
CP020130.1_contig1	320000	350000	75	0.892857
CP020130.1_contig1	330000	360000	77	0.916667
CP020130.1_contig1	340000	370000	81	0.964286
CP020130.1_contig1	350000	380000	90	1.07143
CP020130.1_contig1	360000	390000	90	1.07143
CP020130.1_contig1	370000	400000	89	1.05952
CP020130.1_contig1	380000	410000	84	1
CP020130.1_contig1	390000	420000	80	0.952381
CP020130.1_contig1	400000	430000	80	0.952381
CP020130.1_contig1	410000	440000	82	0.97619
CP020130.1_contig1	420000	450000	84	1
CP020130.1_contig1	430000	460000	84	1
CP020130.1_contig1	440000	470000	84	1
CP020130.1_contig1	450000	480000	84	1
CP020130.1_contig1	460000	490000	89	1.05952
CP020130.1_contig1	470000	500000	96	1.14286
CP020130.1_contig1	480000	510000	98	1.16667
CP020130.1_contig1	490000	520000	98	1.16667
CP020130.1_contig1	500000	530000	97	1.15476
CP020130.1_contig1	510000	540000	99	1.17857
CP020130.1_contig1	520000	550000	110	1.30952
CP020130.1_contig1	530000	560000	253	3.0119
CP020130.1_contig1	540000	570000	277	3.29762
CP020130.1_contig1	550000	580000	292	3.47619
CP020130.1_contig1	560000	581049	172	2.04762
CP020130.1_contig1	570000	581049	181	2.15476
CP020130.1_contig1	580000	581049	144	1.71429
CP020131.1_contig1	0	30000	139	1.65476
CP020131.1_contig1	10000	40000	126	1.5
CP020131.1_contig1	20000	50000	112	1.33333
CP020131.1_contig1	30000	60000	111	1.32143
CP020131.1_contig1	40000	70000	111	1.32143
CP020131.1_contig1	50000	80000	105	1.25
CP020131.1_contig1	60000	90000	97	1.15476
CP020131.1_contig1	70000	100000	94	1.11905
CP020131.1_contig1	80000	110000	93	1.10714
CP020131.1_contig1	90000	120000	92	1.09524
CP020131.1_contig1	100000	130000	94	1.11905
CP020131.1_contig1	110000	140000	96	1.14286
CP020131.1_contig1	120000	150000	98	1.16667
CP020131.1_contig1	130000	160000	99	1.17857
CP020131.1_contig1	140000	170000	100	1.19048
CP020131.1_contig1	150000	180000	97	1.15476
CP020131.1_contig1	160000	190000	91	1.08333
CP020131.1_contig1	170000	200000	91	1.08333
CP020131.1_contig1	180000	210000	92	1.09524
CP020131.1_contig1	190000	220000	94	1.11905
CP020131.1_contig1	200000	230000	88	1.04762
CP020131.1_contig1	210000	240000	77	0.916667
CP020131.1_contig1	220000	250000	70	0.833333
CP020131.1_contig1	230000	260000	68	0.809524
CP020131.1_contig1	240000	270000	69	0.821429
